2.41,1.271
2.621,2.818
2.715,1.326
2.808,2.017
2.902,2.541
3.276,1.685
3.51,3.149
3.744,1.298
3.885,2.901
4.353,4.199
4.727,4.862
5.523,5.773
6.178,6.188
6.927,6.657
7.114,7.265
7.582,7.348
7.91,6.271
8.19,7.072
8.565,7.182
8.705,7.459
8.892,7.265
9.08,7.431
9.22,7.569
9.314,7.956
9.501,7.845
9.641,8.204
10.016,8.315
10.203,8.37
10.39,8.315
10.577,8.204
10.671,7.956
10.905,7.32
11.139,6.768
11.326,7.099
11.513,7.32
11.7,7.652
12.075,7.818
12.449,7.403
12.496,6.547
12.59,5.525
12.73,4.972
12.871,3.646
12.964,4.392
13.198,5.414
13.385,5.884
13.619,5.912
13.853,5.884
14.228,5.829
14.415,5.746
14.696,5.359
14.883,4.613
15.07,4.834
15.538,4.033
15.819,3.646
16.1,1.961
16.193,6.74
16.381,7.238
16.895,7.293
17.598,7.182
18.066,6.989
18.253,6.492
18.487,4.503
18.58,5.193
18.768,3.536
19.048,3.066
19.844,3.232
20.452,3.204
21.061,3.011
21.669,2.624
21.763,6.326
21.95,6.05
22.371,5.884
22.933,6.133
23.448,6.133
23.869,5.939
24.384,5.912
25.086,4.475
25.367,5.773
25.554,4.448
25.741,3.343
26.022,3.785
26.162,3.204
26.349,2.983
26.443,2.652
26.864,2.459
27.239,2.293
27.683,2.099
