Time - (hours),pH,COD,TSS,Electricity (mV)
170.9678,8.056686,5492.72,4.871895,19.43995
172.8949,8.072103,5413.903,4.764085,19.61406
174.194,8.082496,5361.41,4.692758,19.713
174.822,8.08752,5336.217,4.658662,19.74181
176.7491,8.102937,5259.645,4.555571,19.76165
178.6762,8.118354,5184.173,4.454761,19.72916
179.724,8.126736,5143.593,4.40089,19.713
180.6033,8.133771,5109.783,4.356183,19.70892
182.5304,8.149188,5036.461,4.259785,19.72663
184.4576,8.164604,4964.191,4.165521,19.76442
186.3847,8.180021,4892.958,4.073343,19.80212
187.097,8.18572,4866.887,4.039789,19.812
188.3118,8.195438,4822.747,3.983205,19.81956
190.2389,8.210855,4753.543,3.895061,19.79658
192.166,8.226272,4685.333,3.808868,19.713
192.166,8.226272,4685.333,3.808868,19.713
